Airline ID,Name,Alias,IATA/IACO,Callsign,Country
1795,BA CityFlyer,,CJ,FLYER,United Kingdom
1808,Click Airways,,CGK,CLICK AIR,Kyrgyzstan
1814,Coastal Air,,DQ,U.S. Virgin Islands,United States
1821,Colgan Air,,9L,COLGAN,United States
1828,Comair,,OH,COMAIR,United States
1829,Comair,,MN,COMMERCIAL,South Africa
1843,CommutAir,,C5,COMMUTAIR,United States
1844,Comores Airlines,,KR,CONTICOM,Comoros
1860,Compass Airlines,,CP,Compass Rose,United States
1868,Condor Flugdienst,,DE,CONDOR,Germany
1876,Consorcio Aviaxsa,,6A,AVIACSA,Mexico
1879,Contact Air,Contactair,C3,CONTACTAIR,Germany
1881,Continental Airlines,,CO,CONTINENTAL,United States
1883,Continental Express,,CO,JETLINK,United States
1884,Continental Micronesia,,CS,AIR MIKE,United States
1886,Conviasa,,V0,CONVIASA,Venezuela
1889,Copa Airlines,,CM,COPA,Panama
1892,Copterline,,AAQ,COPTERLINE,Finland
1894,Corendon Airlines,,CAI,CORENDON,Turkey
1908,Corsairfly,,SS,CORSAIR,France
1909,Corse-Mediterranee,,XK,CORSICA,France
1923,Crest Aviation,,CAN,CREST,United Kingdom
1925,Croatia Airlines,,OU,CROATIA,Croatia
1931,Crown Airways,,CRO,CROWN AIRWAYS,United States
1936,Cubana de Aviación,,CU,CUBANA,Cuba
1942,Cyprus Airways,,CY,CYPRUS,Cyprus
1943,Cyprus Turkish Airlines,,YK,,Turkey
1946,Czech Airlines,CSA Czech Airlines,OK,CSA-LINES,Czech Republic
1954,DAT Danish Air Transport,,DX,DANISH,Denmark
1966,Daallo Airlines,,D3,DALO AIRLINES,Djibouti
1973,Dalavia,,H8,DALAVIA,Russia
1983,Darwin Airline,,0D,DARWIN,Switzerland
2006,Delta Aerotaxi,,DEA,JET SERVICE,Italy
2009,Delta Air Lines,,DL,DELTA,United States
2013,Denim Air,,DNM,DENIM,Netherlands
2021,Deutsche Bahn,,2A,,Germany
2041,Djibouti Airlines,,D8,DJIBOUTI AIR,Djibouti
2042,Dniproavia,,UDN,DNIEPRO,Ukraine
2047,Dominicana de Aviaci,,DO,DOMINICANA,Dominican Republic
2048,Domodedovo Airlines,,E3,DOMODEDOVO,Russia
2051,DonbassAero,,5D,DONBASS AERO,Ukraine
2056,Dragonair,,KA, Hong Kong Dragon Airlines,DRAGON
2058,Druk Air,,KB,ROYAL BHUTAN,Bhutan
2061,Dubrovnik Air,,DBK,SEAGULL,Croatia
2070,Dutch Antilles Express,,DNL,DUTCH ANTILLES,Netherlands Antilles
2077,dba,,DI,SPEEDWAY,Germany
2091,EVA Air,,BR,EVA,Taiwan
2094,Eagle Air,,H7,,Uganda
2104,East African,,QU,CRANE,Uganda
2117,Eastern Airways,,T3,EASTFLIGHT,United Kingdom
2125,Eastland Air,,DK,,Australia
2137,Ecuavia,,ECU,ECUAVIA,Ecuador
2138,Edelweiss Air,,WK,EDELWEISS,Switzerland
2143,Egyptair,,MS,EGYPTAIR,Egypt
2150,El Al Israel Airlines,,LY,ELAL,Israel
2155,El-Buraq Air Transport,,UZ,BURAQAIR,Libya
2183,Emirates,Emirates Airlines,EK,EMIRATES,United Arab Emirates
2193,Empresa Ecuatoriana De Aviacion,,EU,ECUATORIANA,Ecuador
2213,Eritrean Airlines,,B8,ERITREAN,Eritrea
2218,Estonian Air,,OV,ESTONIAN,Estonia
2220,Ethiopian Airlines,,ET,ETHIOPIAN,Ethiopia
2222,Etihad Airways,,EY,ETIHAD,United Arab Emirates
2226,Euro Exec Express,,RZ,,Sweden
2237,Eurocypria Airlines,,UI,EUROCYPRIA,Cyprus
2239,Eurofly Service,,GJ,EUROFLY,Italy
2245,Eurolot,,K2,EUROLOT,Poland
2251,European Air Express,,EA,STAR WING,Germany
2260,Eurowings,,EW,EUROWINGS,Germany
2261,Evergreen International Airlines,,EZ,EVERGREEN,United States
2264,Excel Airways,,JN,EXPO,United Kingdom
2265,Excel Charter,,XEL,HELI EXCEL,United Kingdom
2293,Express One International,,EO,LONGHORN,United States
2295,ExpressJet,,XE,JET LINK,United States
2297,easyJet,EasyJet Airline,U2,EASY,United Kingdom
2324,Far Eastern Air Transport,,EF,Far Eastern,Taiwan
2350,Finnair,,AY,FINNAIR,Finland
2351,Finncomm Airlines,,FC,WESTBIRD,Finland
2353,Firefly,,FY,FIREFLY,Malaysia
2354,First Air,,7F,,Canada
2357,First Choice Airways,,DP,JETSET,United Kingdom
2395,Flightline,,B5,FLIGHTLINE,United Kingdom
2404,Florida West International Airways,,RF,FLO WEST,United States
2417,AirAsia X,FlyAsianXpress,D7,XANADU,Malaysia
2418,FlyLal,,TE,LITHUANIA AIR,Lithuania
2419,FlyNordic,,LF,NORDIC,Sweden
2420,Flybaboo,,F7,BABOO,Switzerland
2421,Flybe,,BE,JERSEY,United Kingdom
2425,Flyglobespan,,B4,GLOBESPAN,United Kingdom
2429,Flyhy Cargo Airlines,,FYH,FLY HIGH,Thailand
2439,Formosa Airlines,,VY,,Taiwan
2454,Freedom Air,,FP,FREEDOM,United States
2456,Freedom Airlines,,FRL,FREEDOM AIR,United States
2468,Frontier Airlines,,F9,FRONTIER FLIGHT,United States
2470,Frontier Flying Service,,2F,FRONTIER-AIR,United States
2486,GB Airways,,GT,GEEBEE AIRWAYS,United Kingdom
2520,Garuda Indonesia,,GA,INDONESIA,Indonesia
2524,Gazpromavia,,4G,GAZPROMAVIA,Russia
2538,Georgian Airways,,A9,TAMAZI,Georgia
2541,Georgian National Airlines,,QB,NATIONAL,Georgia
2547,Germania,,ST,GERMANIA,Germany
2548,Germanwings,,4U,GERMAN WINGS,Germany
2556,Ghana International Airlines,,G0,GHANA AIRLINES,Ghana
2575,Go Air,,G8,GOAIR,India
2577,GoJet Airlines,,G7,GATEWAY,United States
2581,Gol Transportes Aéreos,,G3,GOL TRANSPORTE,Brazil
2585,Golden Air,,DC,GOLDEN,Sweden
2607,Great Lakes Airlines,,ZK,LAKES AIR,United States
2622,Grupo TACA,TACA,TA,TACA-COSTARICA,Costa Rica
2637,Gulf Air,,GFA,GULF AIR,Oman
2638,Gulf Air Bahrain,,GF,GULF BAHRAIN,Bahrain
2645,Gulfstream International Airlines,,GFT,GULF FLIGHT,United States
2657,Hageland Aviation Services,,H6,HAGELAND,United States
2660,Hainan Airlines,,HU,HAINAN,China
2663,Haiti Ambassador Airlines,,2T,,Haiti
2674,Hamburg International,,4R,HAMBURG JET,Germany
2681,TUIfly,,X3,YELLOW CAB,Germany
2682,Hapagfly,,HF,HAPAG LLOYD,Germany
2688,Hawaiian Airlines,,HA,HAWAIIAN,United States
2692,Hawkair,,BH,,Canada
2704,Heli France,,8H,HELIFRANCE,France
2731,Helijet,,JB,HELIJET,Canada
2747,Hellas Jet,,T4,HELLAS JET,Greece
2748,Hello,,HW,FLYHELLO,Switzerland
2750,Helvetic Airways,,2L,HELVETIC,Switzerland
2757,Hex'Air,,UD,HEX AIRLINE,France
2761,Highland Airways,,HWY,HIWAY,United Kingdom
2765,Hokkaido International Airlines,,HD,AIR DO,Japan
2773,Hong Kong Airlines,,HX,BAUHINIA,Hong Kong SAR of China
2774,Hong Kong Express Airways,,UO,HONGKONG SHUTTLE,Hong Kong SAR of China
2778,Horizon Air,Horizon Airlines,QX,HORIZON AIR,United States
2782,Horizon Airlines,,BN,,Australia
2822,Iberia Airlines,,IB,IBERIA,Spain
2825,Iberworld,,TY,,Spain
2826,Ibex Airlines,,FW,IBEX,Japan
2829,Icar Air,,RAC,TUZLA AIR,Bosnia and Herzegovina
2835,Icelandair,,FI,ICEAIR,Iceland
2845,Imair Airlines,,IK,IMPROTEX,Azerbaijan
2850,IndiGo Airlines,,6E,IFLY,India
2853,Indian Airlines,,IC,INDAIR,India
2855,Indigo,,I9,INDIGO BLUE,United States
2857,Indonesia AirAsia,,QZ,WAGON AIR,Indonesia
2858,Indonesian Airlines,,IO,INDO LINES,Indonesia
2881,Interair South Africa,,D6,INLINE,South Africa
2883,Interavia Airlines,,ZA,ASTAIR,Russia
2896,Interlink Airlines,,ID,INTERLINK,South Africa
2916,Intersky,,3L,INTERSKY,Austria
2922,Iran Air,,IR,IRANAIR,Iran
2923,Iran Aseman Airlines,,EP,,Iran
2926,Iraqi Airways,,IA,IRAQI,Iraq
2937,Island Airlines,,IS,,United States
2942,Cargo Plus Aviation,,8L,,United Arab Emirates
2948,Islas Airways,,IF,PINTADERA,Spain
2950,Islena De Inversiones,,WC,,Honduras
2954,Israir,,6H,ISRAIR,Israel
2958,Itek Air,,GI,ITEK-AIR,Kyrgyzstan
2969,JAL Express,,JC,JANEX,Japan
2970,JALways,,JO,JALWAYS,Japan
2987,Japan Airlines,JAL Japan Airlines,JL,JAPANAIR,Japan
2988,Japan Airlines Domestic,,JL,J-BIRD,Japan
2989,Japan Asia Airways,,EG,ASIA,Japan
2990,Japan Transocean Air,,NU,JAI OCEAN,Japan
2993,Jazeera Airways,,J9,JAZEERA,Kuwait
2994,Jeju Air,,7C,JEJU AIR,Republic of Korea
3000,Jet Airways,,9W,JET AIRWAYS,India
3001,Jet Airways,,QJ,,United States
3021,Jetstar Asia Airways,,3K,JETSTAR ASIA,Singapore
3026,Jet2.com,,LS,CHANNEX,United Kingdom
3027,Jet4You,,8J,ARGAN,Morocco
3029,JetBlue Airways,,B6,JETBLUE,United States
3032,Jetairfly,,JF,BEAUTY,Belgium
3039,Jetflite,,JEF,JETFLITE,Finland
3052,Jetstar Airways,,JQ,JETSTAR,Australia
3081,Juneyao Airlines,,HO,JUNEYAO AIRLINES,China
3087,KD Avia,,KD,KALININGRAD AIR,Russia
3088,KLM Cityhopper,,WA,CITY,Netherlands
3090,KLM Royal Dutch Airlines,,KL,KLM,Netherlands
3097,Kam Air,,RQ,KAMGAR,Afghanistan
3110,Kavminvodyavia,,KV,AIR MINVODY,Russia
3122,Kendell Airlines,,KDA,KENDELL,Australia
3123,Kenmore Air,,M5,KENMORE,United States
3126,Kenya Airways,,KQ,KENYA,Kenya
3142,Kingfisher Airlines,,IT,KINGFISHER,India
3148,Kish Air,,Y9,KISHAIR,Iran
3157,Kogalymavia Air Company,,7K,KOGALYM,Russia
3163,Korean Air,,KE,KOREANAIR,Republic of Korea
3165,Kosmos,,KSM,KOSMOS,Russia
3168,Krasnojarsky Airlines,,7B,KRASNOJARSKY AIR,Russia
3175,Kuban Airlines,,GW,AIR KUBAN,Russia
3179,Kuwait Airways,,KU,KUWAITI,Kuwait
3180,Kuzu Airlines Cargo,,GO,KUZU CARGO,Turkey
3197,LACSA,,LR,LACSA,Costa Rica
3200,LAN Airlines,,LA,LAN,Chile
3201,LAN Argentina,,4M,LAN AR,Argentina
3204,LAN Express,,LU,LANEX,Chile
3205,LAN Peru,,LP,LANPERU,Peru
3210,LOT Polish Airlines,,LO,POLLOT,Poland
3211,LTE International Airways,,XO,FUN JET,Spain
3212,LTU Austria,,L3,BILLA TRANSPORT,Austria
3233,Lao Airlines,,QV,LAO,Lao Peoples Democratic Republic
3237,LatCharter,,LTC,LATCHARTER,Latvia
3239,Lauda Air,,NG,LAUDA AIR,Austria
3251,Leeward Islands Air Transport,,LI,LIAT,Antigua and Barbuda
3258,Libyan Arab Airlines,,LN,LIBAIR,Libya
3287,Linhas A,,LM,MOZAMBIQUE,Mozambique
3290,Lion Mentari Airlines,,JT,LION INTER,Indonesia
3319,Luftfahrtgesellschaft Walter,,HE,WALTER,Germany
3320,Lufthansa,,LH,LUFTHANSA,Germany
3321,Lufthansa Cargo,,LH,LUFTHANSA CARGO,Germany
3322,Lufthansa CityLine,,CL,HANSALINE,Germany
3326,Lufttransport,,L5,LUFT TRANSPORT,Norway
3329,Luxair,,LG,LUXAIR,Luxembourg
3342,L,,MJ,LAPA,Argentina
3349,MasAir,,M7,MAS CARGA,Mexico
3350,MAT Macedonian Airlines,,IN,MAKAVIO,Macedonia
3354,MIAT Mongolian Airlines,,OM,MONGOL AIR,Mongolia
3357,MNG Airlines,,MB,BLACK SEA,Turkey
3363,Macair Airlines,,CC,,Australia
3366,Maersk,,DM,,Denmark
3370,Mahan Air,,W5,MAHAN AIR,Iran
3378,Malaysia Airlines,,MH,MALAYSIAN,Malaysia
3384,Malmo Aviation,,SCW,SCANWING,Sweden
3386,Malmö Aviation,,TF,Scanwings,Sweden
3387,Malta Air Charter,,R5,MALTA CHARTER,Malta
3389,Malév,,MA,MALEV,Hungary
3391,Mandala Airlines,,RI,MANDALA,Indonesia
3392,Mandarin Airlines,,AE,Mandarin,Taiwan
3393,Mango,,JE,TULCA,South Africa
3411,Martinair,,MP,MARTINAIR,Netherlands
3432,Maxair,,8M,MAXAIR,Sweden
3437,Maya Island Air,,MW,MYLAND,Belize
3463,Meridiana,,IG,MERAIR,Italy
3465,Merpati Nusantara Airlines,,MZ,MERPATI,Indonesia
3466,Mesa Airlines,,YV,AIR SHUTTLE,United States
3467,Mesaba Airlines,,XJ,MESABA,United States
3479,Mexicana de Aviaci,,MX,MEXICANA,Mexico
3490,Middle East Airlines,,ME,CEDAR JET,Lebanon
3494,Midway Airlines,,JI,MIDWAY,United States
3497,Midwest Airlines,,YX,,United States
3498,Midwest Airlines (Egypt),,MY,,Egypt
3529,Moldavian Airlines,,2M,MOLDAVIAN,Moldova
3532,Monarch Airlines,,ZB,MONARCH,United Kingdom
3534,Myway Airlines,,8I,,Italy
3539,Montenegro Airlines,,YM,MONTAIR,Montenegro
3542,Morningstar Air Express,,MAL,MORNINGSTAR,Canada
3545,Moskovia Airlines,,3R,GROMOV AIRLINE,Russia
3547,Motor Sich,,M9,MOTOR SICH,Ukraine
3568,MyTravel Airways,,VZ,KESTREL,United Kingdom
3569,Myanma Airways,,UB,UNIONAIR,Myanmar
3570,Myanmar Airways International,,8M,assignment postponed,Myanmar
3571,Myflug,,MYA,MYFLUG,Iceland
3589,Nasair,,UE,NASAIRWAYS,Eritrea
3608,National Jet Systems,,NC,NATIONAL JET,Australia
3613,Nationwide Airlines,,CE,NATIONWIDE,South Africa
3618,Nauru Air Corporation,,ON,AIR NAURU,Nauru
3637,Nepal Airlines,,RA,ROYAL NEPAL,Nepal
3641,NetJets,,1I,EXECJET,United States
3644,New England Airlines,,EJ,NEW ENGLAND,United States
3652,NextJet,,2N,NEXTJET,Sweden
3661,Niki,,HG,FLYNIKI,Austria
3674,Nok Air,,DD,NOK AIR,Thailand
3684,Norfolk County Flight College,,NCF,COUNTY,United Kingdom
3693,North American Airlines,,NTM,NORTHAM,Canada
3694,North American Charters,,HMR,HAMMER,Canada
3721,Northern Dene Airways,,U7,,Canada
3731,Northwest Airlines,,NW,NORTHWEST,United States
3734,Northwestern Air,,J3,POLARIS,Canada
3737,Norwegian Air Shuttle,,DY,NOR SHUTTLE,Norway
3738,Norwegian Aviation College,,TFN,SPRIT,Norway
3740,Nouvel Air Tunisie,,BJ,NOUVELAIR,Tunisia
3743,Novair,,1I,NAVIGATOR,Sweden
3754,Nas Air,,XY,NAS EXPRESS,Saudi Arabia
3759,Oasis Hong Kong Airlines,,O8,OASIS,Hong Kong
3760,Ocean Air,,BCN,BLUE OCEAN,Mauritania
3764,Oceanair,,O6,OCEANAIR,Brazil
3765,Oceanic Airlines,,O2,,Guinea
3776,Olympic Airlines,,OA,OLYMPIC,Greece
3778,Oman Air,,WY,OMAN AIR,Oman
3781,Omni Air International,,OY,OMNI-EXPRESS,United States
3785,One Two Go Airlines,,OTG,THAI EXPRESS,Thailand
3788,Onur Air,,8Q,ONUR AIR,Turkey
3805,Orenburg Airlines,,R2,ORENBURG,Russia
3811,Orient Thai Airlines,,OX,ORIENT THAI,Thailand
3814,Origin Pacific Airways,,QO,ORIGIN,New Zealand
3822,Ostfriesische Lufttransport,,OL,OLTRA,Germany
3826,Overland Airways,,OJ,OVERLAND,Nigeria
3831,Ozjet Airlines,,O7,AUSJET,Australia
3834,PAN Air,,PV,SKYJET,Spain
3835,PB Air,,9Q,PEEBEE AIR,Thailand
3839,PLUNA,,PU,PLUNA,Uruguay
3840,PMTair,,U4,MULTITRADE,Cambodia
3850,Jetstar Pacific,Pacific Airlines,BL,PACIFIC AIRLINES,Vietnam
3856,Pacific Coastal Airline,,8P,PASCO,Canada
3857,Pacific East Asia Cargo Airlines,,Q8,PAC-EAST CARGO,Philippines
3860,Pacific Island Aviation,,PSA,PACIFIC ISLE,United States
3865,Pacific Wings,,LW,TSUNAMI,United States
3871,Pakistan International Airlines,PIA Pakistan International,PK,PAKISTAN,Pakistan
3907,Paramount Airways,,I7,PARAWAY,India
3914,Passaredo Transportes Aereos,,PTB,PASSAREDO,Brazil
3926,Pegasus Airlines,,PC,SUNTURK,Turkey
3935,Peninsula Airways,,KS,PENINSULA,United States
3952,Philippine Airlines,,PR,PHILIPPINE,Philippines
3969,Piedmont Airlines (1948-1989),,PI,PIEDMONT,United States
3976,Pinnacle Airlines,,9E,FLAGSHIP,United States
3995,Polet,,POT,POLET,Russia
4013,Polynesian Airlines,,PH,POLYNESIAN,Samoa
4021,Porter Airlines,,PD,PORTER AIR,Canada
4022,Portugalia,,NI,PORTUGALIA,Portugal
4026,Potomac Air,,BK,DISTRICT,United States
4031,Precision Air,,PW,PRECISION AIR,Tanzania
4056,Privatair,,PTI,PRIVATAIR,Switzerland
4066,Proflight Commuter Services,,P0,,Zambia
4089,Qantas,Qantas Airways,QF,QANTAS,Australia
4091,Qatar Airways,,QR,QATARI,Qatar
4106,RACSA,,R6,,Guatemala
4113,Kinloss Flying Training Unit,,KIN,KINLOSS,United Kingdom
4177,Regional Airlines,,FN,,Morocco
4178,Regional Express,,ZL,REX,Australia
4187,Republic Airlines,,RW,BRICKYARD,United States
4188,Republic Express Airlines,,RH,PUBLIC EXPRESS,Indonesia
4232,Rossiya,,R4,,Russia
4234,Air Rarotonga,,GZ,,Cook Islands
4248,Royal Air Maroc,,AT,ROYALAIR MAROC,Morocco
4255,Royal Brunei Airlines,,BI,BRUNEI,Brunei
4259,Royal Jordanian,,RJ,JORDANIAN,Jordan
4264,Royal Nepal Airlines,,RA,ROYAL NEPAL,Nepal
4270,Royal Phnom Penh Airways,,PPW,PHNOM-PENH AIR,Cambodia
4283,Rusline,,RLU,RUSLINE AIR,Russia
4292,Rwandair Express,,WB,RWANDAIR,Rwanda
4294,Ryan Air Services,,RYA,RYAN AIR,United States
4295,Ryan International Airlines,,RD,RYAN INTERNATIONAL,United States
4296,Ryanair,,FR,RYANAIR,Ireland
4299,Régional,,YS,REGIONAL EUROPE,France
4304,SATA International,,S4,AIR AZORES,Portugal
4305,South African Airways,SAA South African Airways,SA,SPRINGBOK,South Africa
4311,Shaheen Air International,,NL,SHAHEEN AIR,Pakistan
4319,Scandinavian Airlines System,SAS Scandinavian Airlines,SK,SCANDINAVIAN,Sweden
4323,ScotAirways,,SAY,SUCKLING,United Kingdom
4329,S7 Airlines,Sibir Airlines,S7,SIBERIAN AIRLINES,Russia
4335,Seaborne Airlines,,BB,SEABORNE,United States
4342,Scenic Airlines,,SCE,SCENIC,United States
4349,SriLankan Airlines,,UL,SRILANKAN,Sri Lanka
4356,Sun Country Airlines,,SY,SUN COUNTRY,United States
4370,Southeast Air,,SEA,SOUTHEAST AIR,United States
4374,Sky Express,,G3,AIR CRETE,Greece
4375,Spicejet,,SG,SPICEJET,India
4388,Star Flyer,,7G,STARFLYER,Japan
4411,Skagway Air Service,,N5,SKAGWAY AIR,United States
4414,Sahara Airlines,,SHD,,Algeria
4429,SATA Air Acores,,SP,SATA,Portugal
4435,Singapore Airlines,,SQ,SINGAPORE,Singapore
4436,Sibaviatrans,,5M,SIBAVIA,Russia
4438,Skynet Airlines,,SI,BLUEJET,Ireland
4454,Sriwijaya Air,,SJ,SRIWIJAYA,Indonesia
4455,Sama Airlines,,ZS,NAJIM,Saudi Arabia
4464,Singapore Airlines Cargo,,SQ,SINGCARGO,Singapore
4469,Siem Reap Airways,,FT,SIEMREAP AIR,Cambodia
4475,South East Asian Airlines,,DG,SEAIR,Philippines
4496,Skyservice Airlines,,5G,SKYTOUR,Canada
4513,Servicios de Transportes A,,FS,FUEGUINO,Argentina
4521,Sudan Airways,,SD,SUDANAIR,Sudan
